date,county,covid,reflu,deaths
10/23/2022,Duplin ,1,0,0
10/23/2022,Durham ,38,2,0
10/23/2022,Edgecombe ,2,0,0
10/23/2022,Forsyth ,37,6,1
10/23/2022,Franklin ,3,0,0
10/23/2022,Gaston ,14,7,0
10/23/2022,Gates ,0,,0
10/23/2022,Graham ,0,,0
10/23/2022,Granville ,3,0,0
10/23/2022,Greene ,1,0,0
10/23/2022,Guilford ,34,7,0
10/23/2022,Halifax ,1,0,0
10/23/2022,Harnett ,8,3,0
10/23/2022,Haywood ,10,1,0
10/23/2022,Henderson ,5,0,0
10/23/2022,Hertford ,0,,0
10/23/2022,Hoke ,4,0,0
10/23/2022,Hyde ,1,0,0
10/23/2022,Iredell ,19,3,0
10/23/2022,Jackson ,1,0,0
10/23/2022,Johnston ,14,4,0
10/23/2022,Jones ,0,,0
10/23/2022,Lee ,4,0,0
10/23/2022,Lenoir ,2,0,0
10/23/2022,Lincoln ,5,3,0
10/23/2022,Macon ,0,,0
10/23/2022,Madison ,1,0,0
10/23/2022,Martin ,1,0,0
10/23/2022,McDowell,5,2,0
10/23/2022,Mecklenburg ,92,15,0
10/23/2022,Mitchell ,0,,0
10/23/2022,Montgomery ,0,,0
10/23/2022,Moore ,11,0,0
10/23/2022,Nash ,6,1,0
10/23/2022,New Hanover,5,0,0
10/23/2022,Northampton ,0,,0
10/23/2022,Onslow ,10,1,0
10/23/2022,Orange ,8,2,1
10/23/2022,Pamlico ,1,1,0
10/23/2022,Pasquotank ,5,0,0
10/23/2022,Pender ,1,0,0
10/23/2022,Perquimans ,0,,0
10/23/2022,Person ,1,0,0
10/23/2022,Pitt ,6,4,0
10/23/2022,Polk ,3,1,0
10/23/2022,Randolph ,15,2,0
10/23/2022,Richmond ,0,,1
10/23/2022,Robeson ,6,2,0
10/23/2022,Rockingham ,3,0,0
10/23/2022,Rowan ,7,0,0
10/23/2022,Rutherford ,5,1,0
10/23/2022,Sampson ,1,0,0
10/23/2022,Scotland ,1,0,0
10/23/2022,Stanly ,8,2,0
10/23/2022,Stokes ,4,0,0
10/23/2022,Surry ,7,1,0
10/23/2022,Swain ,2,0,0
10/23/2022,Transylvania ,4,0,0
10/23/2022,Tyrrell ,0,,0
10/23/2022,Union ,11,3,0
10/23/2022,Vance ,7,2,0
10/23/2022,Wake ,59,6,0
10/23/2022,Warren ,0,,0
10/23/2022,Washington ,1,0,0
10/23/2022,Watauga ,1,0,0
10/23/2022,Wayne ,8,0,0
10/23/2022,Wilkes ,5,2,0
10/23/2022,Wilson ,1,0,0
10/23/2022,Yadkin ,1,0,0
10/23/2022,Yancey ,0,,0
10/22/2022,Alamance ,11,0,0
10/22/2022,Alexander ,4,1,0
10/22/2022,Alleghany ,0,,0
10/22/2022,Anson ,1,0,0
10/22/2022,Ashe ,0,,0
10/22/2022,Avery ,0,,0
10/22/2022,Beaufort ,4,1,0
10/22/2022,Bertie ,1,0,0
10/22/2022,Bladen ,2,0,0
10/22/2022,Brunswick ,7,1,0
10/22/2022,Buncombe ,10,1,0
10/22/2022,Burke ,1,0,0
10/22/2022,Cabarrus ,12,0,0
